% x, y, z, R, phi, psi, real(u_asym), imag(u_asym), real(v_asym), imag(v_asym), real(w_asym), imag(w_asym)
  0.250874E+001  0.000000E+000 -0.191986E+001  0.315905E+001  0.000000E+000  0.222400E+001 -0.319771E-004  0.576802E-003  0.000000E+000  0.000000E+000  0.362201E-003  0.104724E-002
  0.247857E+001  0.000000E+000 -0.195864E+001  0.315905E+001  0.000000E+000  0.223955E+001 -0.166880E-004  0.597984E-003  0.000000E+000  0.000000E+000  0.381026E-003  0.104890E-002
  0.244781E+001  0.000000E+000 -0.199695E+001  0.315905E+001  0.000000E+000  0.225510E+001 -0.145014E-005  0.619632E-003  0.000000E+000  0.000000E+000  0.398639E-003  0.105045E-002
  0.241646E+001  0.000000E+000 -0.203478E+001  0.315905E+001  0.000000E+000  0.227066E+001  0.136053E-004  0.641863E-003  0.000000E+000  0.000000E+000  0.414957E-003  0.105201E-002
  0.238453E+001  0.000000E+000 -0.207211E+001  0.315905E+001  0.000000E+000  0.228621E+001  0.283235E-004  0.664809E-003  0.000000E+000  0.000000E+000  0.429879E-003  0.105369E-002
  0.235201E+001  0.000000E+000 -0.210895E+001  0.315905E+001  0.000000E+000  0.230176E+001  0.425188E-004  0.688618E-003  0.000000E+000  0.000000E+000  0.443287E-003  0.105560E-002
  0.231893E+001  0.000000E+000 -0.214527E+001  0.315905E+001  0.000000E+000  0.231731E+001  0.559653E-004  0.713459E-003  0.000000E+000  0.000000E+000  0.455039E-003  0.105787E-002
  0.228529E+001  0.000000E+000 -0.218107E+001  0.315905E+001  0.000000E+000  0.233287E+001  0.683844E-004  0.739519E-003  0.000000E+000  0.000000E+000  0.464957E-003  0.106061E-002
  0.225109E+001  0.000000E+000 -0.221635E+001  0.315905E+001  0.000000E+000  0.234842E+001  0.794281E-004  0.767004E-003  0.000000E+000  0.000000E+000  0.472822E-003  0.106394E-002
  0.221635E+001  0.000000E+000 -0.225109E+001  0.315905E+001  0.000000E+000  0.236397E+001  0.886567E-004  0.796134E-003  0.000000E+000  0.000000E+000  0.478359E-003  0.106798E-002
  0.218107E+001  0.000000E+000 -0.228529E+001  0.315905E+001  0.000000E+000  0.237952E+001  0.955090E-004  0.827138E-003  0.000000E+000  0.000000E+000  0.481218E-003  0.107282E-002
  0.214527E+001  0.000000E+000 -0.231893E+001  0.315905E+001  0.000000E+000  0.239508E+001  0.992616E-004  0.860235E-003  0.000000E+000  0.000000E+000  0.480955E-003  0.107853E-002
  0.210895E+001  0.000000E+000 -0.235201E+001  0.315905E+001  0.000000E+000  0.241063E+001  0.989754E-004  0.895609E-003  0.000000E+000  0.000000E+000  0.477000E-003  0.108514E-002
