% x, y, z, R, phi, psi, real(u), imag(u), real(v), imag(v), real(w), imag(w)
  0.452427E+002  0.000000E+000 -0.832752E+002  0.947716E+002  0.000000E+000  0.264391E+001 -0.101071E-004 -0.169013E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.439421E+002  0.000000E+000 -0.839687E+002  0.947716E+002  0.000000E+000  0.265947E+001 -0.101617E-004 -0.164587E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.426309E+002  0.000000E+000 -0.846419E+002  0.947716E+002  0.000000E+000  0.267502E+001 -0.101853E-004 -0.160214E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.413095E+002  0.000000E+000 -0.852947E+002  0.947716E+002  0.000000E+000  0.269057E+001 -0.101771E-004 -0.155866E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.399780E+002  0.000000E+000 -0.859268E+002  0.947716E+002  0.000000E+000  0.270612E+001 -0.101371E-004 -0.151520E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.386368E+002  0.000000E+000 -0.865381E+002  0.947716E+002  0.000000E+000  0.272168E+001 -0.100653E-004 -0.147153E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.372863E+002  0.000000E+000 -0.871285E+002  0.947716E+002  0.000000E+000  0.273723E+001 -0.996246E-005 -0.142748E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.359268E+002  0.000000E+000 -0.876979E+002  0.947716E+002  0.000000E+000  0.275278E+001 -0.982910E-005 -0.138289E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.345586E+002  0.000000E+000 -0.882460E+002  0.947716E+002  0.000000E+000  0.276833E+001 -0.966616E-005 -0.133764E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.331820E+002  0.000000E+000 -0.887728E+002  0.947716E+002  0.000000E+000  0.278389E+001 -0.947467E-005 -0.129161E-004  0.000000E+000  0.000000E+000  0.391232E-309  0.120163E-305
  0.317974E+002  0.000000E+000 -0.892781E+002  0.947716E+002  0.000000E+000  0.279944E+001 -0.925575E-005 -0.124472E-004  0.000000E+000  0.000000E+000  0.120158E-305  0.782253E-309
  0.304052E+002  0.000000E+000 -0.897618E+002  0.947716E+002  0.000000E+000  0.281499E+001 -0.901058E-005 -0.119692E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.290055E+002  0.000000E+000 -0.902238E+002  0.947716E+002  0.000000E+000  0.283054E+001 -0.874039E-005 -0.114815E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.275989E+002  0.000000E+000 -0.906640E+002  0.947716E+002  0.000000E+000  0.284610E+001 -0.844645E-005 -0.109840E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.261856E+002  0.000000E+000 -0.910822E+002  0.947716E+002  0.000000E+000  0.286165E+001 -0.813003E-005 -0.104765E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.247659E+002  0.000000E+000 -0.914784E+002  0.947716E+002  0.000000E+000  0.287720E+001 -0.779241E-005 -0.995891E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.233402E+002  0.000000E+000 -0.918525E+002  0.947716E+002  0.000000E+000  0.289275E+001 -0.743487E-005 -0.943143E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.219089E+002  0.000000E+000 -0.922044E+002  0.947716E+002  0.000000E+000  0.290831E+001 -0.705868E-005 -0.889425E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.204724E+002  0.000000E+000 -0.925340E+002  0.947716E+002  0.000000E+000  0.292386E+001 -0.666509E-005 -0.834767E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.190308E+002  0.000000E+000 -0.928412E+002  0.947716E+002  0.000000E+000  0.293941E+001 -0.625536E-005 -0.779204E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.175847E+002  0.000000E+000 -0.931259E+002  0.947716E+002  0.000000E+000  0.295496E+001 -0.583070E-005 -0.722780E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.161343E+002  0.000000E+000 -0.933881E+002  0.947716E+002  0.000000E+000  0.297052E+001 -0.539234E-005 -0.665545E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.146799E+002  0.000000E+000 -0.936277E+002  0.947716E+002  0.000000E+000  0.298607E+001 -0.494147E-005 -0.607551E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.132221E+002  0.000000E+000 -0.938447E+002  0.947716E+002  0.000000E+000  0.300162E+001 -0.447928E-005 -0.548857E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.117610E+002  0.000000E+000 -0.940390E+002  0.947716E+002  0.000000E+000  0.301717E+001 -0.400695E-005 -0.489524E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.102971E+002  0.000000E+000 -0.942105E+002  0.947716E+002  0.000000E+000  0.303273E+001 -0.352562E-005 -0.429616E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.883075E+001  0.000000E+000 -0.943593E+002  0.947716E+002  0.000000E+000  0.304828E+001 -0.303645E-005 -0.369200E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.736222E+001  0.000000E+000 -0.944852E+002  0.947716E+002  0.000000E+000  0.306383E+001 -0.254058E-005 -0.308345E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.589191E+001  0.000000E+000 -0.945883E+002  0.947716E+002  0.000000E+000  0.307938E+001 -0.203913E-005 -0.247122E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.442018E+001  0.000000E+000 -0.946684E+002  0.947716E+002  0.000000E+000  0.309494E+001 -0.153323E-005 -0.185602E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.294738E+001  0.000000E+000 -0.947257E+002  0.947716E+002  0.000000E+000  0.311049E+001 -0.102401E-005 -0.123859E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.147387E+001  0.000000E+000 -0.947601E+002  0.947716E+002  0.000000E+000  0.312604E+001 -0.512558E-006 -0.619668E-006  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
